Umrechnung avg;category AVG;category HR;Value HR;HR;Number of Players;avg (Partition) 2;avg (Partition);avg;handedness;height (Partition);height;Group Top 100 AVG;Group Top 10 HR;Group Top 100 HR;Group Top 10 AVG;name;weight (Partition);weight
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;left;73.26;75;Andere;Andere;Andere;Bruce Tanner;Bruce Tanner;216;220
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;71.28;72;Andere;Andere;Andere;Bruce Taylor;Bruce Taylor;176;178
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;75.24;76;Andere;Andere;Andere;Bryan Clutterbuck;Bryan Clutterbuck;216;223
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;73.26;74;Andere;Andere;Andere;Bryan Kelly;Bryan Kelly;192;195
24,5;Normal;Normal;0-29;3;1;0.240 - 0.259;0.24;0,245;both;69.30;70;Andere;Andere;Andere;Bryan Little;Bryan Little;160;160
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;left;73.26;75;Andere;Andere;Andere;Bryan Oelkers;Bryan Oelkers;192;192
26,7;Normal;Normal;0-29;14;1;0.260 - 0.279;0.26;0,267;right;69.30;70;Andere;Andere;Andere;Bubba Morton;Bubba Morton;168;175
22,5;Normal;Normal;30-59;58;1;0.220 - 0.239;0.22;0,225;right;69.30;70;Andere;Andere;Andere;Buck Martinez;Buck Martinez;184;190
23,2;Normal;Normal;30-59;31;1;0.220 - 0.239;0.22;0,232;both;73.26;74;Andere;Andere;Andere;Buck Rodgers;Buck Rodgers;184;190
24,7;Normal;Normal;30-59;40;1;0.240 - 0.259;0.24;0,247;right;67.32;69;Andere;Andere;Andere;Bucky Dent;Bucky Dent;168;170
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;73.26;75;Andere;Andere;Andere;Bud Anderson;Bud Anderson;208;210
23,6;Normal;Normal;0-29;7;1;0.220 - 0.239;0.22;0,236;both;69.30;71;Andere;Andere;Andere;Bud Harrelson;Bud Harrelson;160;160
27,9;Top;Top;180-209;201;1;0.260 - 0.279;0.26;0,279;right;71.28;73;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Buddy Bell;Buddy Bell;176;180
20,5;Normal;Normal;0-29;6;1;0.200 - 0.219;0.20;0,205;both;69.30;71;Andere;Andere;Andere;Buddy Biancalana;Buddy Biancalana;160;160
22,6;Normal;Normal;30-59;52;1;0.220 - 0.239;0.22;0,226;right;69.30;71;Andere;Andere;Andere;Buddy Bradford;Buddy Bradford;168;170
26,6;Normal;Normal;30-59;36;1;0.260 - 0.279;0.26;0,266;both;67.32;69;Andere;Andere;Andere;Bump Wills;Bump Wills;168;172
12,3;Normal;Normal;0-29;4;1;0.120 - 0.139;0.12;0,123;right;71.28;73;Andere;Andere;Andere;Burt Hooton;Burt Hooton;208;210
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;73.26;75;Andere;Andere;Andere;Butch Edge;Butch Edge;200;203
24,8;Normal;Normal;90-119;98;1;0.240 - 0.259;0.24;0,248;right;71.28;73;Andere;Andere;Andere;Butch Hobson;Butch Hobson;192;193
25,5;Normal;Normal;60-89;65;1;0.240 - 0.259;0.24;0,255;both;71.28;73;Andere;Andere;Andere;Butch Wynegar;Butch Wynegar;184;190
23,6;Normal;Normal;30-59;30;1;0.220 - 0.239;0.22;0,236;right;73.26;74;Andere;Andere;Andere;Byron Browne;Byron Browne;184;190
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;71.28;73;Andere;Andere;Andere;Byron McLaughlin;Byron McLaughlin;168;175
23;Normal;Normal;0-29;19;1;0.220 - 0.239;0.22;0,23;right;73.26;74;Andere;Andere;Andere;Cap Peterson;Cap Peterson;192;195
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;73.26;75;Andere;Andere;Andere;Cardell Camper;Cardell Camper;208;208
15,6;Normal;Normal;0-29;7;1;0.140 - 0.159;0.14;0,156;right;71.28;72;Andere;Andere;Andere;Carl Morton;Carl Morton;200;200
26,6;Normal;Normal;0-29;10;1;0.260 - 0.279;0.26;0,266;right;73.26;74;Andere;Andere;Andere;Carl Taylor;Carl Taylor;200;200
24,8;Normal;Normal;30-59;31;1;0.240 - 0.259;0.24;0,248;right;69.30;70;Andere;Andere;Andere;Carl Warwick;Carl Warwick;168;170
28,5;Top;Top;450-539;452;1;0.280 - 0.299;0.28;0,285;left;69.30;71;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Carl Yastrzemski, Darrell Evans, Dave Kingman und 7 mehr;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Carl Yastrzemski;Carl Yastrzemski;168;175
27,4;Normal;Normal;90-119;90;1;0.260 - 0.279;0.26;0,274;left;69.30;71;Andere;Andere;Andere;Carlos May;Carlos May;200;200
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;69.30;71;Andere;Andere;Andere;Carlos Velazquez;Carlos Velazquez;176;180
22,4;Normal;Normal;0-29;20;1;0.220 - 0.239;0.22;0,224;right;71.28;72;Andere;Andere;Andere;Carmen Fanzone;Carmen Fanzone;200;200
22,6;Normal;Normal;0-29;6;1;0.220 - 0.239;0.22;0,226;right;71.28;72;Andere;Andere;Andere;Catfish Hunter;Catfish Hunter;184;190
29,8;Top;Top;240-269;241;1;0.280 - 0.299;0.28;0,298;left;73.26;74;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Cecil Cooper;Cecil Cooper;160;165
28,5;Top;Top;180-209;199;1;0.280 - 0.299;0.28;0,285;right;73.26;74;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Cesar Cedeno;Cesar Cedeno;168;175
25,8;Normal;Normal;30-59;51;1;0.240 - 0.259;0.24;0,258;left;71.28;72;Andere;Andere;Andere;Cesar Geronimo;Cesar Geronimo;160;165
23,5;Normal;Normal;0-29;0;1;0.220 - 0.239;0.22;0,235;right;67.32;69;Andere;Andere;Andere;Cesar Gutierrez;Cesar Gutierrez;152;155
27,8;Top;Normal;30-59;46;1;0.260 - 0.279;0.26;0,278;right;67.32;69;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Andere;Cesar Tovar;Cesar Tovar;152;155
25,5;Normal;Normal;30-59;54;1;0.240 - 0.259;0.24;0,255;left;73.26;74;Andere;Andere;Andere;Champ Summers;Champ Summers;200;205
23,9;Normal;Normal;60-89;69;1;0.220 - 0.239;0.22;0,239;right;71.28;73;Andere;Andere;Andere;Charley Smith;Charley Smith;168;170
25,5;Normal;Normal;0-29;29;1;0.240 - 0.259;0.24;0,255;right;71.28;73;Andere;Andere;Andere;Charlie James;Charlie James;192;195
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;73.26;75;Andere;Andere;Andere;Charlie Mitchell;Charlie Mitchell;168;170
26,1;Normal;Normal;30-59;36;1;0.260 - 0.279;0.26;0,261;right;69.30;71;Andere;Andere;Andere;Charlie Moore;Charlie Moore;176;180
24,6;Normal;Normal;60-89;65;1;0.240 - 0.259;0.24;0,246;right;73.26;75;Andere;Andere;Andere;Charlie Spikes;Charlie Spikes;208;215
27,3;Normal;Top;210-239;215;1;0.260 - 0.279;0.26;0,273;right;71.28;72;Andere;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Chet Lemon;Chet Lemon;184;190
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;69.30;71;Andere;Andere;Andere;Chico Escarrega;Chico Escarrega;184;185
24;Normal;Normal;0-29;2;1;0.240 - 0.259;0.24;0,24;both;71.28;72;Andere;Andere;Andere;Chico Ruiz;Chico Ruiz;168;169
24,9;Normal;Normal;30-59;31;1;0.240 - 0.259;0.24;0,249;right;69.30;70;Andere;Andere;Andere;Chico Salmon;Chico Salmon;160;160
22,7;Normal;Normal;0-29;27;1;0.220 - 0.239;0.22;0,227;both;71.28;72;Andere;Andere;Andere;Chris Bando;Chris Bando;192;195
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;75.24;76;Andere;Andere;Andere;Chris Batton;Chris Batton;192;195
26,9;Normal;Normal;30-59;38;1;0.260 - 0.279;0.26;0,269;right;71.28;72;Andere;Andere;Andere;Chris Brown;Chris Brown;184;185
23,5;Normal;Normal;0-29;18;1;0.220 - 0.239;0.22;0,235;right;71.28;72;Andere;Andere;Andere;Chris Cannizzaro;Chris Cannizzaro;184;190
27,9;Top;Top;180-209;185;1;0.260 - 0.279;0.26;0,279;left;71.28;73;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Chris Chambliss;Chris Chambliss;192;195
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;75.24;77;Andere;Andere;Andere;Chris Knapp;Chris Knapp;192;195
24,6;Normal;Normal;90-119;112;1;0.240 - 0.259;0.24;0,246;right;71.28;73;Andere;Andere;Andere;Chris Speier;Chris Speier;168;175
23,8;Normal;Normal;0-29;17;1;0.220 - 0.239;0.22;0,238;right;69.30;70;Andere;Andere;Andere;Chuck Harrison;Chuck Harrison;184;185
24,3;Normal;Normal;0-29;20;1;0.240 - 0.259;0.24;0,243;left;69.30;71;Andere;Andere;Andere;Chuck Hiller;Chuck Hiller;168;170
26,4;Normal;Normal;90-119;113;1;0.260 - 0.279;0.26;0,264;right;71.28;73;Andere;Andere;Andere;Chuck Hinton;Chuck Hinton;176;180
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;both;71.28;73;Andere;Andere;Andere;Chuck Hockenbery;Chuck Hockenbery;192;195
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;73.26;75;Andere;Andere;Andere;Chuck Porter;Chuck Porter;184;187
23,9;Normal;Normal;0-29;23;1;0.220 - 0.239;0.22;0,239;right;69.30;70;Andere;Andere;Andere;Chuck Schilling;Chuck Schilling;160;160
25,6;Normal;Normal;90-119;91;1;0.240 - 0.259;0.24;0,256;right;73.26;75;Andere;Andere;Andere;Cito Gaston;Cito Gaston;184;190
27,8;Top;Top;150-179;164;1;0.260 - 0.279;0.26;0,278;left;71.28;72;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Claudell Washington;Claudell Washington;184;190
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;75.24;77;Andere;Andere;Andere;Clay Christiansen;Clay Christiansen;200;205
23,3;Normal;Normal;30-59;55;1;0.220 - 0.239;0.22;0,233;left;71.28;72;Andere;Andere;Andere;Clay Dalrymple;Clay Dalrymple;184;190
28,1;Top;Normal;90-119;93;1;0.280 - 0.299;0.28;0,281;right;71.28;72;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Andere;Cleon Jones;Cleon Jones;184;185
25,8;Normal;Top;180-209;196;1;0.240 - 0.259;0.24;0,258;right;75.24;76;Andere;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Cliff Johnson;Cliff Johnson;208;215
25,9;Normal;Normal;30-59;32;1;0.240 - 0.259;0.24;0,259;left;73.26;75;Andere;Andere;Andere;Clint Hurdle;Clint Hurdle;192;195
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;71.28;73;Andere;Andere;Andere;Clint Zavaras;Clint Zavaras;168;175
23,3;Normal;Normal;0-29;28;1;0.220 - 0.239;0.22;0,233;right;69.30;70;Andere;Andere;Andere;Coco Laboy;Coco Laboy;160;165
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;73.26;74;Andere;Andere;Andere;Colby Ward;Colby Ward;184;185
26,3;Normal;Normal;30-59;54;1;0.260 - 0.279;0.26;0,263;right;69.30;70;Andere;Andere;Andere;Cookie Rojas;Cookie Rojas;160;160
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;71.28;73;Andere;Andere;Andere;Craig Chamberlain;Craig Chamberlain;184;190
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;69.30;71;Andere;Andere;Andere;Craig Eaton;Craig Eaton;168;175
23,5;Normal;Normal;30-59;46;1;0.220 - 0.239;0.22;0,235;right;73.26;75;Andere;Andere;Andere;Craig Kusick;Craig Kusick;208;210
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;73.26;75;Andere;Andere;Andere;Craig Mitchell;Craig Mitchell;176;180
25,6;Normal;Normal;30-59;42;1;0.240 - 0.259;0.24;0,256;left;71.28;73;Andere;Andere;Andere;Craig Reynolds;Craig Reynolds;168;175
21,9;Normal;Normal;0-29;0;1;0.200 - 0.219;0.20;0,219;right;69.30;70;Andere;Andere;Andere;Craig Robinson;Craig Robinson;160;165
23,7;Normal;Normal;90-119;112;1;0.220 - 0.239;0.22;0,237;left;73.26;74;Andere;Andere;Andere;Curt Blefary;Curt Blefary;192;195
24,5;Normal;Normal;0-29;7;1;0.240 - 0.259;0.24;0,245;left;69.30;70;Andere;Andere;Andere;Curt Ford;Curt Ford;144;150
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;73.26;74;Andere;Andere;Andere;Curt Kaufman;Curt Kaufman;168;175
21,3;Normal;Normal;0-29;25;1;0.200 - 0.219;0.20;0,213;right;67.32;68;Andere;Andere;Andere;Curt Motton;Curt Motton;160;164
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;left;75.24;77;Andere;Andere;Andere;Curt Wardle;Curt Wardle;216;220
21,7;Normal;Normal;0-29;6;1;0.200 - 0.219;0.20;0,217;right;69.30;71;Andere;Andere;Andere;Dal Maxvill;Dal Maxvill;152;157
23,6;Normal;Normal;30-59;49;1;0.220 - 0.239;0.22;0,236;right;71.28;72;Andere;Andere;Andere;Dale Berra;Dale Berra;176;180
23,5;Normal;Normal;30-59;41;1;0.220 - 0.239;0.22;0,235;left;71.28;73;Andere;Andere;Andere;Dalton Jones;Dalton Jones;176;180
28,3;Top;Normal;30-59;36;1;0.280 - 0.299;0.28;0,283;right;71.28;73;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Andere;Damaso Garcia;Damaso Garcia;160;165
19,5;Normal;Normal;0-29;12;1;0.180 - 0.199;0.18;0,195;left;71.28;72;Andere;Andere;Andere;Dan Briggs;Dan Briggs;176;180
26,7;Normal;Top;150-179;153;1;0.260 - 0.279;0.26;0,267;left;69.30;71;Andere;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Dan Driessen;Dan Driessen;184;187
27;Normal;Normal;120-149;121;1;0.260 - 0.279;0.26;0,27;right;71.28;73;Andere;Andere;Andere;Dan Ford;Dan Ford;184;185
25,3;Normal;Normal;60-89;86;1;0.240 - 0.259;0.24;0,253;left;69.30;71;Andere;Andere;Andere;Dan Meyer;Dan Meyer;176;180
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;left;71.28;73;Andere;Andere;Andere;Dan Morogiello;Dan Morogiello;200;200
27,6;Top;Normal;0-29;14;1;0.260 - 0.279;0.26;0,276;left;71.28;72;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Andere;Dane Iorg;Dane Iorg;176;180
22;Normal;Normal;0-29;2;1;0.220 - 0.239;0.22;0,22;right;75.24;76;Andere;Andere;Andere;Danny Ainge;Danny Ainge;168;175
27,6;Top;Normal;60-89;66;1;0.260 - 0.279;0.26;0,276;right;71.28;72;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Andere;Danny Cater;Danny Cater;168;170
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;73.26;75;Andere;Andere;Andere;Danny Fife;Danny Fife;168;175
23,6;Normal;Normal;0-29;13;1;0.220 - 0.239;0.22;0,236;left;71.28;73;Andere;Andere;Andere;Danny Goodwin;Danny Goodwin;192;195
24,8;Normal;Normal;0-29;15;1;0.240 - 0.259;0.24;0,248;right;71.28;72;Andere;Andere;Andere;Danny Thompson;Danny Thompson;176;183
22,3;Normal;Normal;0-29;28;1;0.220 - 0.239;0.22;0,223;right;71.28;72;Andere;Andere;Andere;Danny Walton;Danny Walton;192;195
21,7;Normal;Normal;0-29;14;1;0.200 - 0.219;0.20;0,217;both;73.26;74;Andere;Andere;Andere;Darrel Chaney;Darrel Chaney;184;188
27,4;Normal;Normal;0-29;1;1;0.260 - 0.279;0.26;0,274;both;71.28;72;Andere;Andere;Andere;Darrell Brown;Darrell Brown;184;184
24,8;Normal;Top;390-419;414;1;0.240 - 0.259;0.24;0,248;left;73.26;74;Andere;Carl Yastrzemski, Darrell Evans, Dave Kingman und 7 mehr;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Darrell Evans;Darrell Evans;200;200
24,7;Normal;Top;180-209;188;1;0.240 - 0.259;0.24;0,247;left;71.28;72;Andere;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Darrell Porter;Darrell Porter;192;193
24,3;Normal;Normal;30-59;44;1;0.240 - 0.259;0.24;0,243;right;67.32;69;Andere;Andere;Andere;Darryl Motley;Darryl Motley;192;196
26,5;Normal;Normal;0-29;15;1;0.260 - 0.279;0.26;0,265;left;73.26;74;Andere;Andere;Andere;Daryl Sconiers;Daryl Sconiers;184;185
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;75.24;76;Andere;Andere;Andere;Daryl Smith;Daryl Smith;184;185
21,3;Normal;Normal;0-29;20;1;0.200 - 0.219;0.20;0,213;right;71.28;73;Andere;Andere;Andere;Dave Campbell;Dave Campbell;176;180
28,3;Top;Normal;0-29;21;1;0.280 - 0.299;0.28;0,283;right;69.30;71;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Andere;Dave Cash;Dave Cash;168;170
25,2;Normal;Normal;0-29;15;1;0.240 - 0.259;0.24;0,252;right;69.30;70;Andere;Andere;Andere;Dave Chalk;Dave Chalk;168;175
27,2;Normal;Normal;30-59;32;1;0.260 - 0.279;0.26;0,272;both;69.30;71;Andere;Andere;Andere;Dave Collins;Dave Collins;168;175
26,7;Normal;Normal;90-119;101;1;0.260 - 0.279;0.26;0,267;right;73.26;74;Andere;Andere;Andere;Dave Concepcion;Dave Concepcion;152;155
21,4;Normal;Normal;90-119;109;1;0.200 - 0.219;0.20;0,214;right;73.26;74;Andere;Andere;Andere;Dave Duncan;Dave Duncan;184;190
23,7;Normal;Normal;0-29;14;1;0.220 - 0.239;0.22;0,237;right;71.28;72;Andere;Andere;Andere;Dave Edwards;Dave Edwards;168;170
26,2;Normal;Normal;30-59;31;1;0.260 - 0.279;0.26;0,262;right;73.26;75;Andere;Andere;Andere;Dave Engle;Dave Engle;208;210
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;75.24;76;Andere;Andere;Andere;Dave Ford;Dave Ford;184;190
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;77.22;78;Andere;Andere;Andere;Dave Frost;Dave Frost;232;235
21,3;Normal;Normal;0-29;6;1;0.200 - 0.219;0.20;0,213;right;69.30;71;Andere;Andere;Andere;Dave Hilton;Dave Hilton;184;191
22,9;Normal;Normal;30-59;37;1;0.220 - 0.239;0.22;0,229;right;75.24;76;Andere;Andere;Andere;Dave Hostetler;Dave Hostetler;208;215
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;71.28;73;Andere;Andere;Andere;Dave Johnson;Dave Johnson;176;183
23,6;Normal;Top;420-449;442;1;0.220 - 0.239;0.22;0,236;right;77.22;78;Andere;Carl Yastrzemski, Darrell Evans, Dave Kingman und 7 mehr;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Dave Kingman;Dave Kingman;208;210
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;75.24;76;Andere;Andere;Andere;Dave Lemanczyk;Dave Lemanczyk;232;235
24,6;Normal;Normal;0-29;16;1;0.240 - 0.259;0.24;0,246;left;71.28;73;Andere;Andere;Andere;Dave Marshall;Dave Marshall;176;182
25,1;Normal;Normal;90-119;96;1;0.240 - 0.259;0.24;0,251;left;69.30;70;Andere;Andere;Andere;Dave May;Dave May;184;186
22,9;Normal;Normal;0-29;21;1;0.220 - 0.239;0.22;0,229;both;71.28;73;Andere;Andere;Andere;Dave McKay;Dave McKay;192;195
13,3;Normal;Normal;0-29;9;1;0.120 - 0.139;0.12;0,133;right;69.30;71;Andere;Andere;Andere;Dave McNally;Dave McNally;184;185
24,4;Normal;Normal;0-29;20;1;0.240 - 0.259;0.24;0,244;right;69.30;70;Andere;Andere;Andere;Dave Nelson;Dave Nelson;160;160
21,2;Normal;Normal;60-89;61;1;0.200 - 0.219;0.20;0,212;right;73.26;74;Andere;Andere;Andere;Dave Nicholson;Dave Nicholson;208;215
25,7;Normal;Normal;30-59;30;1;0.240 - 0.259;0.24;0,257;left;69.30;71;Andere;Andere;Andere;Dave Rader;Dave Rader;160;165
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;left;75.24;77;Andere;Andere;Andere;Dave Rajsich;Dave Rajsich;168;175
26,5;Normal;Normal;60-89;62;1;0.260 - 0.279;0.26;0,265;left;75.24;76;Andere;Andere;Andere;Dave Revering;Dave Revering;208;210
23,9;Normal;Normal;30-59;49;1;0.220 - 0.239;0.22;0,239;right;73.26;75;Andere;Andere;Andere;Dave Roberts;Dave Roberts;208;215
19,4;Normal;Normal;0-29;7;1;0.180 - 0.199;0.18;0,194;left;73.26;75;Andere;Andere;Andere;Dave Roberts;Dave Roberts;192;195
23,6;Normal;Normal;0-29;10;1;0.220 - 0.239;0.22;0,236;right;69.30;71;Andere;Andere;Andere;Dave Rosello;Dave Rosello;160;160
24,1;Normal;Normal;0-29;3;1;0.240 - 0.259;0.24;0,241;right;73.26;74;Andere;Andere;Andere;Dave Skaggs;Dave Skaggs;200;200
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;71.28;73;Andere;Andere;Andere;Dave Smith;Dave Smith;184;190
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;left;71.28;73;Andere;Andere;Andere;Dave Stapleton;Dave Stapleton;184;185
27,1;Normal;Normal;30-59;41;1;0.260 - 0.279;0.26;0,271;right;71.28;73;Andere;Andere;Andere;Dave Stapleton;Dave Stapleton;176;178
26,1;Normal;Normal;120-149;136;1;0.260 - 0.279;0.26;0,261;right;71.28;73;Andere;Andere;Andere;Davey Johnson;Davey Johnson;168;170
26,3;Normal;Top;150-179;155;1;0.260 - 0.279;0.26;0,263;right;67.32;69;Andere;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Davey Lopes;Davey Lopes;168;170
26,8;Normal;Normal;30-59;31;1;0.260 - 0.279;0.26;0,268;right;73.26;75;Andere;Andere;Andere;David Green;David Green;168;170
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;71.28;72;Andere;Andere;Andere;De Wayne Buice;De Wayne Buice;168;170
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;69.30;71;Andere;Andere;Andere;De Wayne Vaughn;De Wayne Vaughn;176;180
6,6;Normal;Normal;0-29;0;1;0.060  -0.079;0.06;0,066;right;73.26;75;Andere;Andere;Andere;Dean Chance;Dean Chance;200;200
25,8;Normal;Normal;60-89;87;1;0.240 - 0.259;0.24;0,258;left;71.28;73;Andere;Andere;Andere;Del Unser;Del Unser;176;180
25;Normal;Normal;90-119;101;1;0.240 - 0.259;0.24;0,25;right;71.28;72;Andere;Andere;Andere;Denis Menke;Denis Menke;184;185
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;71.28;72;Andere;Andere;Andere;Dennis Burtt;Dennis Burtt;176;180
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;left;73.26;74;Andere;Andere;Andere;Dennis DeBarr;Dennis DeBarr;184;190
25;Normal;Normal;0-29;16;1;0.240 - 0.259;0.24;0,25;left;67.32;69;Andere;Andere;Andere;Denny Doyle;Denny Doyle;168;175
13;Normal;Normal;0-29;4;1;0.120 - 0.139;0.12;0,13;right;71.28;73;Andere;Andere;Andere;Denny Lemaster;Denny Lemaster;176;182
13,3;Normal;Normal;0-29;1;1;0.120 - 0.139;0.12;0,133;right;71.28;73;Andere;Andere;Andere;Denny McLain;Denny McLain;184;185
24,4;Normal;Top;240-269;245;1;0.240 - 0.259;0.24;0,244;right;73.26;74;Andere;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Deron Johnson;Deron Johnson;200;200
24,9;Normal;Normal;30-59;43;1;0.240 - 0.259;0.24;0,249;both;71.28;72;Andere;Andere;Andere;Derrel Thomas;Derrel Thomas;160;160
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;71.28;72;Andere;Andere;Andere;Dewey Robinson;Dewey Robinson;176;180
29,2;Top;Top;330-359;351;1;0.280 - 0.299;0.28;0,292;right;69.30;71;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Dick Allen;Dick Allen;184;187
25;Normal;Normal;0-29;10;1;0.240 - 0.259;0.24;0,25;right;71.28;72;Andere;Andere;Andere;Dick Bertell;Dick Bertell;200;200
22,7;Normal;Normal;0-29;16;1;0.220 - 0.239;0.22;0,227;right;71.28;73;Andere;Andere;Andere;Dick Billings;Dick Billings;192;195
26,5;Normal;Normal;0-29;27;1;0.260 - 0.279;0.26;0,265;right;73.26;75;Andere;Andere;Andere;Dick Davis;Dick Davis;184;190
26,1;Normal;Normal;60-89;66;1;0.260 - 0.279;0.26;0,261;right;71.28;73;Andere;Andere;Andere;Dick Dietz;Dick Dietz;192;195
24;Normal;Normal;60-89;80;1;0.240 - 0.259;0.24;0,24;right;69.30;70;Andere;Andere;Andere;Dick Green;Dick Green;176;180
24,8;Normal;Normal;0-29;16;1;0.240 - 0.259;0.24;0,248;right;67.32;68;Andere;Andere;Andere;Dick Howser;Dick Howser;152;155
24,7;Normal;Top;180-209;197;1;0.240 - 0.259;0.24;0,247;left;69.30;71;Andere;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Dick McAuliffe;Dick McAuliffe;176;176
22,4;Normal;Normal;0-29;21;1;0.220 - 0.239;0.22;0,224;left;73.26;74;Andere;Andere;Andere;Dick Nen;Dick Nen;200;200
22,9;Normal;Normal;0-29;12;1;0.220 - 0.239;0.22;0,229;left;71.28;72;Andere;Andere;Andere;Dick Phillips;Dick Phillips;176;180
18,3;Normal;Normal;0-29;1;1;0.180 - 0.199;0.18;0,183;right;73.26;75;Andere;Andere;Andere;Dick Ruthven;Dick Ruthven;184;190
20,7;Normal;Normal;0-29;15;1;0.200 - 0.219;0.20;0,207;right;75.24;76;Andere;Andere;Andere;Dick Simpson;Dick Simpson;176;176
21,3;Normal;Normal;0-29;8;1;0.200 - 0.219;0.20;0,213;right;69.30;71;Andere;Andere;Andere;Dick Tracewski;Dick Tracewski;160;160
23,8;Normal;Normal;0-29;15;1;0.220 - 0.239;0.22;0,238;right;73.26;74;Andere;Andere;Andere;Doc Edwards;Doc Edwards;208;215
24;Normal;Normal;0-29;8;1;0.240 - 0.259;0.24;0,24;right;69.30;70;Andere;Andere;Andere;Domingo Ramos;Domingo Ramos;152;154
26;Normal;Top;330-359;338;1;0.260 - 0.279;0.26;0,26;right;71.28;73;Andere;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Don Baylor;Don Baylor;184;190
